subjID,gain,loss,play,RT
1,6,11.25,1,1.527091072
1,4,1,1,1.548212159
1,9,9,1,1.83157503
1,12,24,0,1.206166562
1,9,15.75,0,1.625203075
1,2,3,0,1.440869104
1,5,5,1,1.557247079
1,6,1.5,1,1.015548523
1,10,3.75,1,0.937937243
1,10,16.25,0,1.01426025
1,2,2.25,0,1.535615495
1,12,21,0,1.074984132
1,8,16,0,1.771723526
1,10,15,0,1.087840751
1,8,13,0,1.10110428
1,12,18,0,1.08693342
1,9,2.25,1,1.227309194
1,12,13.5,0,0.983869049
1,6,5.25,1,1.07978811
1,2,2.75,0,1.30531649
1,6,9,0,1.319758371
1,5,6.875,0,1.712864251
1,12,4.5,1,1.121137256
1,5,8.125,0,1.283250111
1,6,10.5,0,1.017151512
1,12,6,1,1.060276719
1,9,3.375,1,1.39436417
1,4,3.5,1,1.083740024
1,2,1,1,0.909269046
1,4,4.5,0,0.818411017
1,6,3.75,1,1.503304553
1,6,4.5,1,1.30706292
1,9,7.875,1,1.26185536
1,2,2,1,1.339995542
1,12,12,1,1.94045112
1,6,3,1,0.954185571
1,9,11.25,0,1.013012378
1,10,18.75,0,1.130504442
1,8,6,1,1.26845829
1,6,12,0,1.155436012
1,4,7,0,1.722563231
1,5,8.75,0,1.086974773
1,5,2.5,1,1.170517944
1,5,7.5,0,0.851388531
1,12,7.5,1,0.730220675
1,8,15,0,0.97464926
1,6,9.75,0,0.966130593
1,4,5,0,1.062258732
1,10,12.5,0,1.033099101
1,12,16.5,0,1.059400272
1,2,1.5,1,1.044274062
1,12,10.5,1,1.468581693
1,9,14.625,0,0.950303483
1,12,15,0,1.261664016
1,4,6.5,0,1.421566208
1,5,9.375,0,0.983448956
1,2,3.5,0,0.815265305
1,9,5.625,1,0.913496479
1,12,19.5,0,0.778672033
1,2,2.5,0,0.988584718
1,8,5,1,0.835465467
1,5,3.75,1,0.935971813
1,10,5,1,0.900999656
1,2,1.25,1,0.922162185
1,8,7,1,0.737258129
1,8,14,0,0.874380755
1,2,1.75,1,0.995571443
